"Alliance","CANTEUNIS","Species","Type","Value"
"Allion triquetri","V37Z","Urtica membranacea","Constant",67.8571428571429
"Allion triquetri","V37Z","Sonchus oleraceus","Constant",58.9285714285714
"Allion triquetri","V37Z","Urtica membranacea","Diagnostic",64.1040494797774
"Allion triquetri","V37Z","Smyrnium olusatrum","Diagnostic",46.1551112868091
"Allion triquetri","V37Z","Tradescantia fluminensis","Diagnostic",35.2227961264927
"Allion triquetri","V37Z","Allium triquetrum","Diagnostic",33.9285714285714
"Allion triquetri","V37Z","Arum italicum","Diagnostic",29.2163911575289
"Allion triquetri","V37Z","Chelidonium majus","Diagnostic",21.5305995147632
"Allion triquetri","V37Z","Smyrnium olusatrum","Dominant",46.4285714285714
"Allion triquetri","V37Z","Urtica membranacea","Dominant",44.6428571428571
"Allion triquetri","V37Z","Tradescantia fluminensis","Dominant",14.2857142857143
"Allion triquetri","V37Z","Urtica dioica","Dominant",10.7142857142857
"Allion triquetri","V37Z","Allium triquetrum","Dominant",7.14285714285714
"Arction lappae","V39Y","Urtica dioica","Constant",87.5
"Arction lappae","V39Y","Oxybasis rubra","Constant",77.5
"Arction lappae","V39Y","Senecio duriaei","Constant",72.5
"Arction lappae","V39Y","Oxybasis rubra","Diagnostic",76.4901081962201
"Arction lappae","V39Y","Senecio duriaei","Diagnostic",69.1886072459625
"Arction lappae","V39Y","Cytisus oromediterraneus","Diagnostic",17.5
"Arction lappae","V39Y","Oxybasis rubra","Dominant",47.5
"Arction lappae","V39Y","Senecio duriaei","Dominant",20
"Arction lappae","V39Y","Blitum bonus-henricus","Dominant",7.5
"Arction lappae","V39Y","Urtica dioica","Dominant",7.5
"Balloto-Conion maculati","V39X","Urtica dioica","Constant",94.4827586206897
"Balloto-Conion maculati","V39X","Galium aparine","Constant",75.8620689655172
"Balloto-Conion maculati","V39X","Sambucus ebulus","Constant",71.7241379310345
"Balloto-Conion maculati","V39X","Sambucus ebulus","Diagnostic",70.0668805052191
"Balloto-Conion maculati","V39X","Conium maculatum","Diagnostic",30.3055327877876
"Balloto-Conion maculati","V39X","Sambucus ebulus","Dominant",52.4137931034483
"Balloto-Conion maculati","V39X","Conium maculatum","Dominant",29.6551724137931
"Balloto-Conion maculati","V39X","Urtica dioica","Dominant",24.1379310344828
"Balloto-Conion maculati","V39X","Galium aparine","Dominant",11.7241379310345
"Bidention tripartitae","Q61Z","Lythrum salicaria","Constant",100
"Bidention tripartitae","Q61Z","Persicaria hydropiper","Constant",100
"Bidention tripartitae","Q61Z","Bidens frondosus","Constant",96.969696969697
"Bidention tripartitae","Q61Z","Phalaroides arundinacea","Constant",75.7575757575758
"Bidention tripartitae","Q61Z","Cyperus eragrostis","Constant",72.7272727272727
"Bidention tripartitae","Q61Z","Lycopus europaeus","Constant",72.7272727272727
"Bidention tripartitae","Q61Z","Helosciadium nodiflorum","Constant",60.6060606060606
"Bidention tripartitae","Q61Z","Dysphania ambrosioides","Constant",57.5757575757576
"Bidention tripartitae","Q61Z","Rumex obtusifolius","Constant",57.5757575757576
"Bidention tripartitae","Q61Z","Persicaria hydropiper","Diagnostic",99.5958134988452
"Bidention tripartitae","Q61Z","Bidens frondosus","Diagnostic",96.9170961034265
"Bidention tripartitae","Q61Z","Lythrum salicaria","Diagnostic",77.4344437625358
"Bidention tripartitae","Q61Z","Phalaroides arundinacea","Diagnostic",74.7202431697725
"Bidention tripartitae","Q61Z","Cyperus eragrostis","Diagnostic",70.2023312311834
"Bidention tripartitae","Q61Z","Helosciadium nodiflorum","Diagnostic",58.2360029968803
"Bidention tripartitae","Q61Z","Dysphania ambrosioides","Diagnostic",55.4009993290231
"Bidention tripartitae","Q61Z","Lycopus europaeus","Diagnostic",49.9705144080183
"Bidention tripartitae","Q61Z","Xanthium orientale","Diagnostic",45.4545454545455
"Bidention tripartitae","Q61Z","Agrostis stolonifera","Diagnostic",39.0417641601677
"Bidention tripartitae","Q61Z","Artemisia verlotiorum","Diagnostic",39.0025915384292
"Bidention tripartitae","Q61Z","Mentha pulegium","Diagnostic",37.0219902351356
"Bidention tripartitae","Q61Z","Solanum chenopodioides","Diagnostic",30.3030303030303
"Bidention tripartitae","Q61Z","Galium palustre","Diagnostic",27.2727272727273
"Bidention tripartitae","Q61Z","Symphyotrichum squamatum","Diagnostic",26.4776280430802
"Bidention tripartitae","Q61Z","Veronica beccabunga","Diagnostic",24.2424242424242
"Bidention tripartitae","Q61Z","Cuscuta campestris","Diagnostic",24.2424242424242
"Bidention tripartitae","Q61Z","Leersia oryzoides","Diagnostic",24.0143878082257
"Bidention tripartitae","Q61Z","Setaria parviflora","Diagnostic",21.2121212121212
"Bidention tripartitae","Q61Z","Galinsoga quadriradiata","Diagnostic",20.9517045454545
"Bidention tripartitae","Q61Z","Setaria faberi","Diagnostic",18.1818181818182
"Bidention tripartitae","Q61Z","Bidens frondosus","Dominant",84.8484848484848
"Bidention tripartitae","Q61Z","Persicaria hydropiper","Dominant",75.7575757575758
"Bidention tripartitae","Q61Z","Xanthium orientale","Dominant",27.2727272727273
"Bidention tripartitae","Q61Z","Artemisia verlotiorum","Dominant",12.1212121212121
"Bidention tripartitae","Q61Z","Lythrum salicaria","Dominant",12.1212121212121
"Bidention tripartitae","Q61Z","Dysphania ambrosioides","Dominant",6.06060606060606
"Bidention tripartitae","Q61Z","Helosciadium nodiflorum","Dominant",6.06060606060606
"Bidention tripartitae","Q61Z","Symphyotrichum squamatum","Dominant",6.06060606060606
"Carduo carpetani-Cirsion odontolepidis","V38Y","Onopordum acanthium","Constant",93.4782608695652
"Carduo carpetani-Cirsion odontolepidis","V38Y","Carduus carpetanus","Constant",65.2173913043478
"Carduo carpetani-Cirsion odontolepidis","V38Y","Echium vulgare","Constant",63.0434782608696
"Carduo carpetani-Cirsion odontolepidis","V38Y","Dipsacus fullonum","Constant",56.5217391304348
"Carduo carpetani-Cirsion odontolepidis","V38Y","Lactuca virosa","Constant",54.3478260869565
"Carduo carpetani-Cirsion odontolepidis","V38Y","Rumex crispus","Constant",50
"Carduo carpetani-Cirsion odontolepidis","V38Y","Onopordum acanthium","Diagnostic",90.0020203756832
"Carduo carpetani-Cirsion odontolepidis","V38Y","Reseda luteola","Diagnostic",30.0418487570664
"Carduo carpetani-Cirsion odontolepidis","V38Y","Verbascum pulverulentum","Diagnostic",28.1703252142654
"Carduo carpetani-Cirsion odontolepidis","V38Y","Lactuca virosa","Diagnostic",25.349656086436
"Carduo carpetani-Cirsion odontolepidis","V38Y","Echium vulgare","Diagnostic",24.5833269625092
"Carduo carpetani-Cirsion odontolepidis","V38Y","Onopordum acanthium","Dominant",45.6521739130435
"Carduo carpetani-Cirsion odontolepidis","V38Y","Echium vulgare","Dominant",6.52173913043478
"Carduo carpetani-Cirsion odontolepidis","V38Y","Carduus carpetanus","Dominant",6.52173913043478
"Chenopodion muralis","V37X","Malva neglecta","Constant",87.5
